,phrases,labels
1882,model characterizing repair of a cracked structure,Material
1883,discontinuous performance function associated with the failure probability,Task
1884,unified framework,Process
1885,Finite Element Tearing and Interconnecting,Process
1886,solvers for large-scale problems in computational mechanics,Task
1887,numerical simulation problem,Material
1888,number of independent sub-problems,Material
1889,complex geometries,Material
1890,isogeometric analysis,Process
1891,computational domain as a collection of several NURBS geometries,Task
1892,NURBS-based IGA,Process
1893,FETI methods,Process
1894,IsogEometric Tearing and Interconnecting,Process
1895,FETI,Process
1896,IGA,Process
1897,IETI framework,Process
1898,coupling of the subdomains along interfaces,Process
1899,interfaces with T-joints,Material
1900,demonstrate the performance of the proposed IETI method,Task
1901,several subdomains,Material
1902,construction of a suitable preconditioner for the iterative linear solver,Task
1903,simple model problems,Process
1904,Poisson,Process
1905,linearized elasticity,Process
1906,IETI,Process
1907,IGA,Process
1908,FETI,Process
1909,hanging nodes,Material
1910,Non-Uniform Rational B-spline,Process
1911,NURBS,Process
1912,NURBS,Process
1913,advanced solver design,Process
1914,exact geometry representation,Process
1915,performance of linear algebra solvers,Process
1916,performance of direct solvers,Process
1917,large problems,Process
1918,tearing and interconnecting approach of finite element methods,Process
1919,isogeometric analysis,Task
1920,isogeometric tearing and interconnecting method,Process
1921,extensive numerical examples,Material
1922,Schwarz methods,Process
1923,BDDC preconditioners,Material
1924,isogeometric analysis,Task
1925,numerical tests,Material
1926,rigorous theoretical study,Task
1927,theoretical study,Task
1928,mechanoregulatory feedback control,Process
1929,scale elasticity and strains from the level of the extravascular bone matrix to that of cortical bone,Task
1930,mathematical systems biology of bone,Material
1931,continuum micromechanics representation,Material
1932,cortical bone,Material
1933,providing sufficient load-carrying capacity,Process
1934,coupled approach,Process
1935,trabecular bone,Material
1936,recalibration of underlying parameters,Process
1937,systems biology approach,Process
1938,mechanical stimuli,Material
1939,micromechanics model,Process
1940,coupled approach,Process
1941,biochemical and mechanical conditions,Material
1942,potentials and limitations of the presented approach,Task
1943,micromechanics formulation,Process
1944,composition quantities,Material
1945,interpolation functions,Process
1946,stability and accuracy of the formulation,Task
1947,support point coordinates for the gradient field,Material
1948,non-physical penalty energy functions,Material
1949,nodal integration and NS-FEM,Process
1950,first order hexahedral elements,Material
1951,C3D_8N_27C,Material
1952,first order tetrahedra,Material
1953,computing time in explicit analysis,Task
1954,CAG and SFEM formulations,Process
1955,nodally integrated tetrahedron,Process
1956,stabilize them,Task
1957,C3D_8N_8I,Material
1958,second order tensor-product interpolation,Process
1959,W2 variants,Process
1960,"numerically verify the stability, convergence and accuracy of several W2 variants",Task
1961,continuous deformation gradients,Process
1962,element types,Material
1963,level set method,Process
1964,level set equation,Process
1965,Hamilton–Jacobi equation,Process
1966,finite difference scheme,Process
1967,rectangular grid in two or three dimensions,Material
1968,fast marching method,Process
1969,numerical scheme of complexity nlogn to compute the support values on the grid,Task
1970,propagation process,Process
1971,the time where the interface passes a certain grid point is influenced only by those neighboring grid points which are previously passed by the interface,Process
1972,theory of level set,Process
1973,fast marching,Process
1974,Distance fields,Task
1975,level set,Process
1976,Algorithms regarding distance fields,Material
1977,temporal propagation,Process
1978,numerical methods,Process
1979,complexity nlogn,Material
1980,shape offsetting,Task
1981,computing distances,Task
1982,photolithography development,Task
1983,seismic travel times,Task
1984,areas,Task
1985,modelling the flow of a slightly compressible single phase fluid in a viscoelastic porous medium,Task
1986,extension to the equations of poroelasticity,Task
1987,mixed and Galerkin finite element spatial discretization,Material
1988,lagged and non-lagged backward Euler time stepping method,Process
1989,Fully discrete numerical schemes,Process
1990,coupling,Process
1991,nonlinearly viscoelastic diffusion problems,Task
1992,constitutive equations,Process
1993,viscoelastic relaxation effects,Process
1994,updating subroutines,Process
1995,porous media,Material
1996,fluid,Material
1997,single phase fluid,Material
1998,viscoelastic porous medium,Material
1999,flow equations,Process
2000,assembly engines,Material
2001,numerical schemes,Process
2002,simulation of incompressible fluid flow,Task
2003,SPH method,Process
2004,weakly compressible SPH formulation,Process
2005,WCSPH,Process
2006,artificial equation of state,Process
2007,WCSPH,Process
2008,SPH method,Process
2009,WCSPH,Process
2010,fluid flow,Process
2011,fluid,Material
2012,fluid,Material
2013,create more uniform particle distributions,Task
2014,particle,Material
2015,free-surface flows,Process
2016,calculate the stress tensor,Task
2017,framed’ cell,Process
2018,shear stress,Process
2019,constraining the velocity,Process
2020,framed cell,Process
2021,framed cell,Process
2022,method of planes,Process
2023,calculate the stress tensor,Process
2024,volume-average approach,Process
2025,Schweitz virial relation,Process
2026,complicated computational cell,Process
2027,Lees–Edwards cell,Process
2028,simple cell,Process
2029,framed cell,Process
2030,IK equation,Process
2031,model and quantitatively simulate the sintering process,Task
2032,estimate the final resulting quality,Task
2033,to predict the final net shape and size,Task
2034,porosity,Task
2035,Powder metallurgy,Process
2036,sintered component,Material
2037,hardmetal,Material
2038,WC-Co,Material
2039,powder,Material
2040,liquid-phase sintering,Process
2041,green body,Material
2042,Co is heated,Process
2043,gradual filling of the pore,Process
2044,macroscopic shrinkage,Process
2045,dense state,Material
2046,technology for the manufacturing of components to (near) net-shape,Process
2047,heating,Process
2048,obtain sufficient mobility via capillary action,Task
2049,surface traction,Process
2050,particle,Material
2051,sintering process,Process
2052,Co,Material
2053,deteriorated convergence,Task
2054,initial residual amplification,Task
2055,amplification of the residual,Task
2056,poor nonlinear convergence,Material
2057,PL,Task
2058,PL,Process
2059,inf–sup stable schemes,Process
2060,penalized formulations,Process
2061,classic penalty/weakly penalized,Process
2062,PL formulation,Process
2063,weakly penalized formulation,Process
2064,penalty method,Process
2065,weakly penalized,Process
2066,generalized formulation,Process
2067,"PL, penalty or statically condensed PL formulations",Process
2068,nonlinear convergence,Material
2069,convergence,Material
2070,weakly penalized and PL approaches,Process
2071,Energy conservation,Process
2072,contact and collision problems,Task
2073,energy conservation,Task
2074,penalty regulation,Process
2075,continuum problems,Task
2076,conservation schemes,Process
2077,finite element method,Process
2078,simulate frictionless  [44] and frictional  [43] contact and collision,Task
2079,node-to-segment contact method,Process
2080,large deformation contact problems,Task
2081,conserving scheme,Process
2082,energy and momentum-conserving temporal discretization scheme,Process
2083,adhesive contact problems,Task
2084,friction,Process
2085,dissipation,Process
2086,conserving scheme,Process
2087,energy and momentum conserving algorithm,Process
2088,generating high-order meshes for high Reynolds number flows,Task
2089,generation procedure,Process
2090,"isoparametric [17] or, in general, a transfinite interpolation",Process
2091,subdivided into either prisms or tetrahedra,Process
2092,initial mesh,Material
2093,high-order meshes,Material
2094,dense linear boundary-layer mesh,Material
2095,high-order coarse boundary-layer prismatic mesh,Material
2096,prisms,Material
2097,tetrahedra,Material
2098,coarse high-order prisms,Material
2099,Reynolds number flows,Process
2100,meshes,Material
2101,meshes,Material
2102,polynomial space,Material
2103,variational format in the space–time domain,Material
2104,spatial domain Ω,Material
2105,first order time-derivative,Task
2106,"problem of dynamics, rewritten in first-order form",Task
2107,Hamiltonian description,Task
2108,coupled problem of consolidation of geomaterials,Task
2109,space–time slabs,Material
2110,Sn=defΩ×In,Material
2111,space–time domain,Material
2112,S=defΩ×I=S1∪S2⋯∪Sn,Material
2113,"time domain I=(0,T)",Material
2114,S=defΩ×I,Material
2115,Isogeometric analysis,Task
2116,isogeometric analysis,Task
2117,ansatz functions,Process
2118,problem geometry,Task
2119,problem geometry,Process
2120,computer aided design,Process
2121,CAD,Process
2122,NURBS,Material
2123,T-splines,Material
2124,finite element methods,Process
2125,IGAFEM,Process
2126,CAD,Process
2127,boundary element method,Process
2128,BEM,Process
2129,numerical scheme,Process
2130,Isogeometric BEM,Process
2131,IGABEM,Process
2132,2D BEM,Process
2133,3D BEM,Process
2134,standard BEM,Process
2135,numerical analysis of IGABEM,Task
2136,IGABEM,Process
2137,quadrature analysis,Task
2138,a posteriori error estimation,Process
2139,standard BEM,Process
2140,IGABEM,Process
2141,shed some first light on a posteriori error analysis for IGABEM,Task
2142,IGABEM,Process
2143,a posteriori error analysis,Process
2144,mathematical foundation of a corresponding adaptive algorithm,Task
2145,adaptive algorithm,Process
2146,Discontinuous Galerkin,Process
2147,DG,Process
2148,solving conservation laws of the shallow water equations,Task
2149,shallow water equations,Process
2150,DG method,Process
2151,finite element weak formulation,Process
2152,shape a piecewise-polynomial solution over each local discrete cell,Task
2153,local basis functions,Process
2154,DG polynomial accuracy,Process
2155,conservation principles,Process
2156,conservation principles,Process
2157,DG-based shallow water model,Task
2158,very coarse meshes,Material
2159,CFL number,Process
2160,FR schemes,Process
2161,nodal DG schemes,Process
2162,unstructured high-order method,Process
2163,computational aerodynamics,Task
2164,nodal DG schemes,Process
2165,FR schemes,Process
2166,high-order,Process
2167,nodal,Process
2168,approximate the solution,Process
2169,nodal DG schemes,Process
2170,FR schemes,Process
2171,enforce inter-element solution continuity,Process
2172,nodal DG schemes,Process
2173,FR methods,Process
2174,FR approach,Process
2175,computational domain,Task
2176,immersed boundary method,Process
2177,IBM,Process
2178,studying flow patterns around heart valves,Task
2179,arterial blood flow,Task
2180,modelling of the cochlea,Task
2181,modelling of red blood cells in Poiseuille flow ,Task
2182,flows involving suspended particles,Task
2183,IBM,Process
2184,fluid–structure interaction problems,Task
2185,fluid–structure interaction problem,Task
2186,fluid,Material
2187,fluid,Material
2188,structure,Material
2189,structure,Material
2190,coupled together,Process
2191,IBM,Process
2192,Newtonian fluid,Material
2193,surrounding fluid,Material
2194,motion,Process
2195,IBM,Process
2196,fluid,Material
2197,underlying fluid mesh,Material
2198,remeshing,Process
2199,shape optimisation,Task
2200,two- and three-dimensional solids,Material
2201,combining multiresolution subdivision surfaces,Process
2202,immersed finite elements,Material
2203,isogeometric analysis literature,Material
2204,geometry representations,Process
2205,computer aided design,Process
2206,CAD,Process
2207,finite element analysis,Process
2208,FEA,Process
2209,shape optimisation,Task
2210,CAD geometry model,Process
2211,finite element computation,Process
2212,geometry and analysis representations,Task
2213,shape optimisation techniques,Process
2214,surrogate geometry model,Process
2215,analysis mesh,Process
2216,CAD model,Process
2217,optimised surrogate geometry model,Process
2218,analysis mesh,Process
2219,CAD model,Process
2220,CAD model,Process
2221,shape optimisation,Task
2222,shells,Material
2223,solids,Material
2224,isogeometric analysis,Process
2225,CAD geometry model,Process
2226,directly optimising,Process
2227,surrogate model,Process
2228,nanomaterials,Material
2229,exact measurement of properties,Task
2230,sustained development of new devices,Task
2231,scanning electron microscopes,Material
2232,SEM,Material
2233,atomic force microscopes,Material
2234,AFM,Material
2235,transmission electron microscopes,Material
2236,TEM,Material
2237,material internal structure,Task
2238,atomic bonding information,Task
2239,TEM,Process
2240,manipulate with an individual object,Process
2241,TEM,Process
2242,AFM,Process
2243,nanomaterials,Material
2244,STM probes,Process
2245,nanomaterials manipulation,Task
2246,properties analysis,Task
2247,TEM holders,Process
2248,holders,Process
2249,TEM techniques,Process
2250,mechanical and thermal property analysis,Task
2251,nanostructures,Material
2252,direct bent or tensile tests,Process
2253,probing electrical characteristics,Process
2254,field emission,Task
2255,electrical transport tracing,Task
2256,soldering,Task
2257,doping,Task
2258,instruments,Material
2259,MINERAL (MINeral ERror AnaLysis),Task
2260,a new MATLAB® based program,Task
2261,Methods,Task
2262,provides mineral formula recalculations combined with the associated propagation of the analytical uncertainties,Process
2263,Some generalized programs,Task
2264,CALCMIN,Material
2265,HYPER-FORM,Material
2266,recalculate the formula of multiple minerals,Process
2267,to provide users with greater flexibility in data reporting,Task
2268,AMPH CLASS,Material
2269,PROBE AMPH,Material
2270,ILMAT,Material
2271,PX-NOM,Material
2272,recalculation of amphibole analyses,Task
2273,recalculation of magnetite and ilmenite,Task
2274,recalculation of pyroxene analyses,Task
2275,MINERAL,Material
2276,recalculation of multiple common minerals,Task
2277,incorporate the associated uncertainty propagation calculations.,Process
2278,MINERAL,Material
2279,allow users with little or no experience operating MATLAB® and/or performing mineral formula recalculations and uncertainty propagation to undertake both with ease,Task
2280,database,Material
2281,WASI,Material
2282,IOCCG,Material
2283,NASA bio-Optical Marine Algorithm Data set,Material
2284,NOMAD,Material
2285,SeaWiFS Bio-Optical Archive and Storage System,Material
2286,SeaBASS,Material
2287,ai⁎(λ,Material
2288,aY⁎(λ),Material
2289,aD⁎(λ),Material
2290,bX(λ),Material
2291,"bb,X⁎",Material
2292,bb,Material
2293,Mie⁎,Material
2294,water constituents,Material
2295,region or season specific information,Material
2296,optical properties,Material
2297,IOCCG (2006) data bank,Material
2298,"optical properties of the bottom [Rib(λ), Bi] and the atmosphere",Material
2299,in-situ measurements,Process
2300,Artificial Neural Networks,Task
2301,science and engineering problems,Task
2302,model the ability of biological nervous systems to recognize patterns and objects,Process
2303,ANN basic architecture,Task
2304,networks of primitive functions,Material
2305,receiving multiple weighted inputs,Process
2306,Different types of primitive functions and network configurations,Task
2307,training network connection,Task
2308,weights,Material
2309,adjusted if the separation of inputs and predefined classes incurs an error,Process
2310,feed-forward networks with a single hidden layer of nodes,Process
2311,Multi-Layer Perceptron,Process
2312,select one of two possible parameters,Process
2313,Convergence,Process
2314,the reduction in error between iterations reaches a decay threshold,Task
2315,MLP,Process
2316,ANN,Task
2317,ossil mass occurrences,Material
2318,virtual methods,Process
2319,macro-CT,Process
2320,µ-CT,Process
2321,nano-CT,Process
2322,fossil mass occurrences,Material
2323,3D-visualization,Process
2324,fossil-elements,Material
2325,virtual reconstruction,Task
2326,ammonoid mass occurrence,Material
2327,planispirally coiled ammonoid shells,Process
2328,fossil mass occurrence,Material
2329,other abundant organic elements,Material
2330,particles,Material
2331,investigation of fossil-orientation,Task
2332,depositional interpretations,Task
2333,investigating their interior orientation,Task
2334,analyses and interpretation of the interior orientation,Task
2335,thermo-electric co-simulation,Process
2336,RT simulators,Process
2337,co-simulation,Process
2338,distributed simulation,Process
2339,role of communication latency,Material
2340,communication latency,Material
2341,communication latency,Material
2342,generalised cross correlation phase transform,Process
2343,GCC-PHAT,Process
2344,speaker,Process
2345,voice activity detector,Process
2346,VAD,Process
2347,GCC-PHAT step,Process
2348,m-th microphone pair,Process
2349,Kalman filter,Process
2350,EKF,Process
2351,audio position estimation,Task
2352,Speech segments,Material
2353,SRC-HE,Process
2354,GCC algorithm,Process
2355,physical model,Process
2356,continuous distribution of relaxations,Task
2357,phenomenological theory of relaxation processes,Task
2358,relaxation mechanisms,Process
2359,local mechanisms of irreversible energy loss,Task
2360,shear viscosity,Process
2361,heat conduction,Process
2362,Navier–Stokes approach,Process
2363,relaxation processes,Process
2364,relaxations,Process
2365,irreversible energy loss,Process
2366,compression or expansion of a medium,Process
2367,friction between different layers of a medium,Process
2368,ducts,Material
2369,propagation of unsteady disturbances,Task
2370,aeroengine,Material
2371,multiple scales approach,Process
2372,multiple-scales analysis,Process
2373,sound propagation,Process
2374,ducts,Material
2375,uniform mean flow,Process
2376,mean swirling flow,Process
2377,ducts,Material
2378,uniform mean flow,Process
2379,multiple-scales approach,Process
2380,numerical methods,Process
2381,higher frequencies,Process
2382,calculating the eigenmodes,Process
2383,straight parallel duct,Material
2384,multiple scales approach,Process
2385,finite-element methods,Process
2386,aeroengine,Material
2387,acoustic frequencies,Task
2388,aeroengine configurations,Task
2389,strongly curved ducts,Material
2390,mean flow,Process
2391,reflection problem,Task
2392,shifting the semi-infinite row,Process
2393,semi-infinite row,Process
2394,two scatterers,Process
2395,semi-infinite row,Process
2396,two-dimensional grating problems,Task
2397,layered media,Material
2398,obtain a quadratic equation,Process
2399,two-dimensional waveguide problems,Task
2400,shifting-by-one-period idea,Process
2401,quadratic equation,Process
2402,waveguide problems,Process
2403,Max-linear programs,Process
2404,multiprocessor interactive systems,Material
2405,optimisation problems,Process
2406,variables,Material
2407,integer solutions,Process
2408,generic class of matrices,Material
2409,integer solutions,Process
2410,two-sided max-linear systems and programs,Material
2411,general matrices,Material
2412,algorithms for finding integer solutions,Task
2413,max-linear programs,Material
2414,adapt the existing methods for finding real solutions,Task
2415,digraph,Material
2416,digraphs are strongly connected,Process
2417,sequences of optimal walks of a growing length in weighted digraphs,Task
2418,sequences of entries of max-algebraic matrix powers with growing exponents,Task
2419,(unweighted) digraphs,Material
2420,tomography technique,Process
2421,focused ion beam,Material
2422,FIB,Material
2423,high resolution FE-SEM,Process
2424,2D images,Material
2425,studies of microstructural evolution,Task
2426,Non-destructive X-ray nano-computed tomography,Process
2427,CT,Process
2428,exploring dynamic microstructural change,Task
2429,laboratory and synchrotron radiation,Material
2430,preparation of optimal sample geometries for X-ray nano-CT,Task
2431,X-ray nano-CT,Process
2432,FIB sample preparation route,Process
2433,FIB sample,Material
2434,fuel cell electrode microstructure,Material
2435,working fuel cell,Material
2436,non-destructive X-ray characterization technique,Process
2437,selected sample,Material
2438,microstructural evolution processes,Process
2439,“grind-free” nanoprecursor route,Process
2440,direct combinatorial solid state synthesis,Process
2441,phase-pure heterometallic Ruddlesden Popper type La4Ni3−xFexO10 materials,Material
2442,high-throughput reactor,Process
2443,robotic automation,Process
2444,RAMSI,Process
2445,nanoparticle co-precipitate precursors,Material
2446,synthesise a range of nanoparticle co-precipitate precursors,Process
2447,rate of 7.5 samples an hour,Process
2448,heat-treated,Process
2449,powder XRD screen,Process
2450,locate and approximate phase boundary,Process
2451,synthesis and XRD characterisation,Process
2452,heat-treated powders,Material
2453,La4Ni2FeO10,Material
2454,Fe3+,Material
2455,Ni,Material
2456,Fe,Material
2457,iron oxide,Material
2458,EXAFS data,Material
2459,new approach to the “grind-free” nanoprecursor route to direct combinatorial solid state synthesis,Task
2460,“bulges”,Material
2461,oxide-ion diffusion,Process
2462,oxide,Material
2463,ion,Material
2464,fluorite materials,Material
2465,cation,Material
2466,anions,Material
2467,cation,Material
2468,anion,Material
2469,present material,Material
2470,Ta and Re cations,Material
2471,impedance spectroscopy,Process
2472,mixed conducting thin film electrodes,Material
2473,oxygen tracer experiments,Process
2474,bulk samples,Material
2475,IEDP measurements,Process
2476,mixed conducting cathode materials,Material
2477,oxide films,Material
2478,insulating substrates,Material
2479,EIS,Process
2480,IEDP,Process
2481,La0.6Sr0.4CoO3−δ,Material
2482,LSC,Material
2483,resistive contributions of the oxygen reduction kinetics,Task
2484,electrical measurements,Process
2485,oxygen ion conductor,Material
2486,yttria stabilized zirconia,Material
2487,YSZ,Material
2488,LSC films,Material
2489,Quantitative material parameters,Task
2490,comparison of the data,Process
2491,analysis models,Process
2492,appropriateness of analysis models,Task
2493,films,Material
2494,thin film,Material
2495,oxygen reduction kinetics,Process
2496,films,Material
2497,oxygen,Material
2498,applying EIS and IEDP to one and the same La0.6Sr0.4CoO3−δ (LSC) thin film,Task
2499,grain,Material
2500,Thin MIEC layers,Material
2501,GDC,Material
2502,STFO,Material
2503,single-crystalline YSZ substrates,Material
2504,H2/H218O atmosphere,Material
2505,tracer exchange experiments,Task
2506,exposed to H2/H218O atmosphere,Process
2507,Rectangular noble metal thin film current collectors,Material
2508,deposited on top and beneath the MIEC layer,Process
2509,MIEC layer,Material
2510,polarization,Process
2511,lateral distribution of the tracer,Process
2512,thermal tracer exchange,Process
2513,metallic current collector,Material
2514,18O,Material
2515,oxygen ions,Material
2516,in-plane diffusion of oxygen ions,Process
2517,STFO,Material
2518,GDC,Material
2519,applied bias,Process
2520,current collector,Material
2521,width of this active region,Task
2522,STFO,Material
2523,GDC,Material
2524,enhanced tracer incorporation,Process
2525,reduced incorporation,Process
2526,low electronic conductivity,Process
2527,tracer fraction,Process
2528,micro-contact set-ups,Material
2529,asymmetrically heated measurement set-up,Material
2530,electrode,Material
2531,change the contacted electrode,Process
2532,gain statistical information,Task
2533,microelectrodes,Material
2534,monitoring of optical changes,Task
2535,asymmetrical heating,Process
2536,local cooling,Process
2537,temperature gradients,Process
2538,temperature gradients,Process
2539,electrochemical experiments,Process
2540,temperature cycles,Process
2541,microelectrodes,Material
2542,contacting and de-contacting of different microelectrodes,Process
2543,microelectrodes,Material
2544,convection,Process
2545,radiation,Process
2546,contacting tip,Material
2547,heat sink,Material
2548,powder X-ray diffraction,Process
2549,XRD,Process
2550,PANalytical Empyrean diffractometer,Process
2551,XRD patterns,Material
2552,STOE Win XPOW software,Process
2553,phase purity,Task
2554,crystal structure,Task
2555,cell parameters,Task
2556,Thermogravimetric analysis,Process
2557,TGA,Process
2558,Netzsch STA 449C instrument,Process
2559,Proteus thermal analysis software,Process
2560,reducing conditions,Process
2561,5% H2/Ar,Material
2562,weight change,Task
2563,perovskite,Material
2564,field emission 74 scanning electron microscope,Process
2565,FEG-SEM,Process
2566,total conductivity,Task
2567,four-terminal method,Process
2568,calcination,Task
2569,Gold wire contacts,Material
2570,conductivity,Task
2571,redox cycle,Task
2572,Low oxygen partial pressure,Process
2573,H2/Ar,Material
2574,flow,Process
2575,A nanocomposite system,Task
2576,a semiconducting matrix and embedded ferromagnetic nanostructures,Material
2577,The ferromagnetic characteristics,Task
2578,"coercivity, remanence and magnetic anisotropy of the nanocomposite",Task
2579,the electrochemical parameters,Material
2580,distribution,Process
2581,densely packed particles,Task
2582,a much larger magnetic anisotropy,Material
2583,non-interacting particles,Material
2584,modifying the current density,Process
2585,small Ni-particles (3–6nm),Material
2586,these particles,Material
2587,Ni-tubes,Material
2588,The presented nanocomposite,Task
2589,Silicon,Material
2590,a good candidate for the integration,Task
2591,thinner resist films,Material
2592,pattern collapse,Process
2593,smaller lithographic nodes,Task
2594,reduced etch resistance of thin photoresist films,Process
2595,multilayer process,Process
2596,nanosphere lithography,Task
2597,intermediate layer material,Material
2598,IC production,Task
2599,fabrication of soft polymer pillars,Task
2600,thin photoresist films,Material
2601,multilayer processes,Process
2602,intermediate organic hardmask,Material
2603,silicon pattern transfer,Process
2604,silicon nanopillars,Material
2605,complex etch processes,Process
2606,coupled plasma,Material
2607,ICP,Material
2608,polyimide,Material
2609,encapsulation material,Material
2610,oxygen plasma,Material
2611,silicon,Material
2612,SF6 gas,Material
2613,multilayer process,Process
2614,sample preparation,Process
2615,ICP etching,Process
2616,etching equipment,Material
2617,model device operations during single electron detection,Task
2618,target d1,Material
2619,single electron detection,Task
2620,3D finite element based (FEM) COMSOL capacitance analysis,Process
2621,Monte Carlo single-electron circuit simulations,Process
2622,single electron detection,Process
2623,3D structural data,Material
2624,nanoscale DQD pair,Material
2625,multiple gate electrodes,Material
2626,COMSOL’s FEM-based electrostatics simulator,Material
2627,device components,Material
2628,well-tested single electron circuit simulator,Material
2629,SETSPICE,Material
2630,single electron tunnelling,Process
2631,orthodox theory,Task
2632,simulation,Process
2633,gate G1,Material
2634,VG1,Material
2635,single electron tunnelling,Process
2636,turnstile’s two QDs,Material
2637,shifts in the electrometer current,Process
2638,IDS,Material
2639,electrometer current,Material
2640,DQD electrometer,Material
2641,gate,Material
2642,QD capacitive coupling,Process
2643,control of QD occupations,Process
2644,manipulation of single electron spins,Task
2645,qubit research,Task
2646,single electron spins,Process
2647,spin-on carbon compositions,Material
2648,film thickness measurements,Process
2649,IM-HM11-01,Material
2650,IM-HM11-03,Material
2651,etching,Process
2652,compare the performance of the different compositions across tasks,Task
2653,Films of the SoC,Material
2654,spin coating,Process
2655,film,Material
2656,aked for 2min at temperatures of up to 330°C,Process
2657,before and after dipping,Process
2658,monochlorobenzene,Material
2659,IM-HM11-01,Material
2660,IM-HM11-02,Material
2661,IM-HM11-02 film,Material
2662,IM-HM11-01,Material
2663,IM-HM11-01 and IM-HM11-02,Material
2664,IM-HM11-01 and IM-HM11-02,Material
2665,evaluated three spin-on carbon hardmasks from Irresistible Materials,Task
2666,SoC,Material
2667,spin-on-hardmask,Material
2668,elution behavior,Task
2669,SoC (,Material
2670,baking,Process
2671,hydrogen-terminated silicon substrates,Material
2672,MCB,Material
2673,IM-HM11-02 films,Material
2674,three spin-on carbon hardmasks,Material
2675,Film,Material
2676,solvent,Material
2677,chloroform,Material
2678,anisole,Material
2679,site-specific nanowire size reduction,Task
2680,modulation of the electrical properties,Process
2681,FIB-milling,Process
2682,controllable size reduction with high resolution towards the observation of size- and quantum effects,Task
2683,uniform shrinking,Process
2684,FIB thinning,Process
2685,Transmission electron microscope images,Material
2686,thinned tungsten composite nanowire,Material
2687,wire,Material
2688,high resolution images,Material
2689,thinning,Process
2690,as-deposited wire,Material
2691,thinning,Process
2692,construction of 3D superconducting nanodevices,Task
2693,3D superconducting nanodevices,Material
2694,molecular models,Process
2695,electrons,Material
2696,electrons,Material
2697,trapped in the bulk and at surfaces of silica,Process
2698,electron trapping centres,Material
2699,electrons,Material
2700,spontaneously trap,Process
2701,identifying defect centres,Task
2702,silica,Material
2703,bulk,Material
2704,Si–O bonds,Material
2705,a-SiO2 leading,Material
2706,weakening,Process
2707,trapped,Process
2708,Si–O bond dissociation,Process
2709,Si–O bond,Material
2710,non-defective continuum random network model,Process
2711,a-SiO2,Material
2712,a-SiO2,Material
2713,neutral paramagnetic defects,Process
2714,non-bridging oxygen centre,Material
2715,silicon dangling bond,Material
2716,deep electron traps,Material
2717,negatively charged defects,Material
2718,surfaces of a-SiO2,Material
2719,explaining the optical and electronic properties of SiO2 in the presence of E′ centres,Task
2720,irradiation,Process
2721,trapping of positive charge in thin layers of a-SiO2 grown on silicon surfaces,Process
2722,paramagnetic E′ centre signals,Material
2723,E′ centres in α-quartz,Material
2724,identification of the paramagnetic E′ centre in SiO2,Process
2725,paramagnetic E′ centre,Material
2726,SiO2,Material
2727,unpaired electron,Material
2728,sp3 hybrid orbital,Material
2729,Si atom,Material
2730,oxygen atoms,Material
2731,SiO2,Material
2732,E′ centres,Material
2733,hole injection,Process
2734,thermal oxidation,Process
2735,a-SiO2,Material
2736,silicon surfaces,Material
2737,neutral oxygen vacancy,Material
2738,major hole trap,Material
2739,a-SiO2,Material
2740,Si atom,Material
2741,Si atoms,Material
2742,localised unpaired electron,Material
2743,positive charge trapping,Process
2744,E′ centres,Material
2745,high density of E′ centres,Material
2746,positive charge,Process
2747,E′ centre,Material
2748,post-irradiation electron injection,Process
2749,SiO2,Material
2750,Ge (100) wafers,Material
2751,wafers,Material
2752,samples,Material
2753,samples,Material
2754,electrical measurements,Task
2755,samples,Material
2756,oxide leakage current,Material
2757,measured,Process
2758,HP 4192A low frequency (LF) impedance analyzer,Material
2759,to perform high frequency capacitance–voltage (HF CV) measurements,Task
2760,n- and p-type,Material
2761,cleaned in ultra high vacuum,Process
2762,ultra high vacuum,Material
2763,evaporate any native oxide,Process
2764,native oxide,Material
2765,oxide free surface,Material
2766,Al flux,Process
2767,ultrathin Al layers,Material
2768,oxidized,Process
2769,MBE load lock,Material
2770,Al2O3 layers,Material
2771,produce Al2O3 layers,Task
2772,Oxford Instruments OpAL reactor,Material
2773,thin films of HfO2,Material
2774,Al2O3,Material
2775,atomic layer deposition,Process
2776,ALD,Process
2777,HfO2,Material
2778,HfO2 depositions,Process
2779,[(CpMe)2HfOMeMe] precursor,Material
2780,O2 plasma,Material
2781,oxidizing species,Material
2782,grow HfO2 thicknesses,Process
2783,HfO2,Material
2784,circular gold contacts,Material
2785,MOS gate electrodes,Material
2786,films,Material
2787,Al,Material
2788,Ge wafers,Material
2789,ohmic contact,Material
2790,annealed in forming gas,Process
2791,forming gas,Material
2792,FGA,Material
2793,Keithley 230B voltage source,Material
2794,Keithley 617B electrometer,Material
2795,high frequency capacitance–voltage (HF CV) measurements,Material
2796,manufacture of self-folding hydrogel scaffolds,Task
2797,sacrificial layer of PAA,Material
2798,producing environmentally triggered self-folding all hydrogel scaffolds,Process
2799,novel use of sacrificial layer embossing,Task
2800,patterned hydrogel films,Material
2801,triggered consecutively,Process
2802,PEGDMA hydrogel,Material
2803,PEGDMA,Material
2804,produce biodegradable and cell adhesive hydrogels,Task
2805,self-folding hydrogel scaffolds,Material
2806,readily available and fast throughput methods,Process
2807,effective pattern transfer,Process
2808,embossing a sacrificial layer,Process
2809,using it as a soluble mould in the fabrication process,Process
2810,fabrication process,Process
2811,soluble mould,Material
